file_name,effects_overexposure_chronic,effects_overexposure_eyes,effects_overexposure_ingestion,effects_overexposure_inhalation,effects_overexposure_skin,first_aids_chronic,first_aids_eyes,first_aids_ingestion,first_aids_inhalation,first_aids_skin,health_hazards_chronic,health_hazards_eyes,health_hazards_ingestion,health_hazards_inhalation,health_hazards_skin,appearance,conditions_avoid,decomposition_products,eyes_protection,other_precautions,protective_equipment,protective_gloves,respiratory_protection,ventilation,disposal,extinguishing_media,fire_fighting,handling_storage,spill
bwrkp,,,,,,,,,,,,"eyes, skin, respiratory & gi tracts.",,,"skin, respiratory & gi tracts.",CLEAR LIQUID - ALDEHYDE ODOR,CONTACT WITH INCOMPATIBLE MATERIALS.,"CARBON MONOXIDE, CARBON DIOXIDE, OXIDES OF SULFUR MAY BE FORMED.",SPLASH-PROOF CHEMICAL SAFETY GOGGLES,"DO NOT GET IN EYES, ON SKIN OR ON CLOTHING. DO NOT BREATHE MIST OR VAPOR. KEEP OUT OF REACH OF CHILDREN. DO NOT TAKE INTERNALLY. WASH THOROUGHLY AFTER HANDLING. FOR INDUSTRIAL USE ONLY. KEEP CONTAINER TIGHTLY CLOSED IN UPRIGHT POSITION.","CHEMICALLY RESISTANT COVERALLS, SHOES OR BOOTS, EYE WASH AND SAFETY SHOWER NEAR WORK AREA","NITRILE, NEOPRENE, VINYL, LATEX",NIOSH APPROVED RESPIRATORY PROTECTION IS REQUIRED IN POORLY VENTILATED AREAS.,NORMAL ROOM VENTILATION,"SHIP TO APPROVED WASTE WATER TREATMENT SYSTEM/DISPOSAL FACILITY. DISPOSE OF IN COMPLIANCE WITH ALL CURRENT LOCAL, STATE AND FEDERAL REGULATIONS.","WATER SPRAY, CARBON DIOXIDE, FOAM OR DRY CHEMICAL FOR SURROUNDING FIRE. USE WATER SPRAY TO COOL FIRE EXPOSED CONTAINERS.",WEAR FULL PROTECTIVE CLOTHING AND NIOSH-APPROVED SELF-CONTAINED BREATHING APPARATUS OPERATED IN THE POSITIVE PRESSURE MODE.,STORE AWAY FROM INCOMPATIBLE MATERIALS. PROTECT CONTAINERS AGAINST SPILLAGE AND PHYSICAL DAMAGE. DO NOT REMOVE OR DEFACE CONTAINER LABELS.,"VENTILATE AREA. WEAR PROTECTIVE EQUIPMENT. ABSORB WITH SAW DUST, SAND OR OIL DRY. TRANSFER TO A SUITABLE CONTAINER FOR LATER DISPOSAL. AVOID DIRECT CONTACT. SPILL MAY BE NEUTRALIZED WITH SODIUM BICARB ONATE."
bwrld,,"eyes, headache, nausea, breathing difficulty, coughing, chest pain",,,,,,,,,,"eyes, skin.",,,skin.,PASTE,NONE,"WELDING FUMES (OXIDES OF METAL BEING WELD) AND GASES SUCH AS OZONE, CARBON MONOXIDE, CARBON DIOXIDE, NITROGEN OXIDES",SAFETY GLASSES UNDER WELDING HELMET,AVOID BREATHING OF FUMES. USE WITH ADEQUATE VENTILATION. WASH THOROUGHLY AFTER HANDLING AND BEFORE EATING AND DRINKING. REMOVE CONTAMINATED CLOTHING. LAUNDER BEFORE REUSE.,"EYE WASH STATION, SAFETY SHOWER, WORK CLOTHING AND APRON FOR WELDING.",FLAME-PROOF WELDING GLOVES,"USE NIOSH APPROVED SUPPLIED AIR RESPIRATORY PROTECTION OR RESPIRABLE FUME RESPIRATOR WHEN WELDING, BRAZING OR SOLDERING IN CONFINED SPACE OR WHERE LOCAL EXHAUST OR VENTILATION DOES NOT KEEP EXPOSURE B ELOW TLV.",USE GENERAL & LOCAL EXHAUST AT FLAME TO KEEP FUMES AND GASES BELOW TLV'S IN THE WORKER'S BREATHING ZONE & GENERAL AREA.,"DISPOSE OF IN ACCORDANCE WITH ALL LOCAL, STATE AND FEDERAL REGULATIONS.","CARBON DIOXIDE, DRY CHEMICAL, SAND",WEAR FULL PROTECTIVE CLOTHING AND NIOSH-APPROVED SELF-CONTAINED BREATHING APPARATUS WITH FULL FACEPIECE OPERATED IN THE POSITIVE PRESSURE MODE.,STORE IN A DRY PLACE. KEEP OUT OF REACH OF CHILDREN.,PICK UP SPILL WITH INERT ABSORBENT MATERIALS. TRANSFER TO PROPER CONTAINER FOR LATER DISPOSAL.
bwrmw,,eye irritation,,,,,,,,,,eyes.,,,,YELLOW POWDER - SLIGHT ODOR,NONE,NONE,SAFETY GLASSES/GOGGLES RECOMMENDED,KEEP CONTAINER CLOSED. AVOID CONTACT WITH EYES. WASH THOROUGHLY AFTER HANDLING MATERIAL. KEEP OUT OF REACH OF CHILDREN.,"EYE WASH STATION, WASHING FACILITY",LATEX FOR PROLONGED/REPEATED CONTACT,NONE SHOULD BE NEEDED.,GOOD GENERAL VENTILATION (TYPICALLY 10 AIR CHANGES/HR) SHOULD BE USED. VENTILATION RATES SHOULD BE MATCHED TO CONDITIONS,"INCINERATE OR LANDFILL. DISCHARGE, TREATMENT OR DISPOSAL IS SUBJECT TO FEDERAL, STATE OR LOCAL LAWS.","WATER SPRAY, CARBON DIOXIDE, FOAM OR DRY CHEMICAL FOR SURROUNDING FIRE. USE WATER SPRAY TO COOL FIRE EXPOSED CONTAINERS.",WEAR PROTECTIVE CLOTHING AND NIOSH-APPROVED SELF-CONTAINED BREATHING APPARATUS.,STORE IN DRY PLACE.,SWEEP MATERIAL ONTO PAPER AND PLACE IN A FIBER CARTON. CLEAN SURFACE THOROUGHLY TO REMOVE RESIDUAL CONTAMINATION.
bwrnl,,"eye irritation, allergic skin reaction, respiratory tract irritation, difficult breathing.",,,"skin reaction, respiratory tract irritation, difficult breathing.",,,," if symptomatic, move to fresh air.",,,,,inhalation hazard for recommended handling.,,"LIGHT YELLOW LIQUID, NO ODOR",NONE SPECIFIED BY MANUFACTURER.,"OXIDES OF NITROGEN, SULFUR DIOXIDE, AMMONIA, CHLORAMINE.",SAFETY GLASSES W/SIDE SHIELDS OR GOGGLES,KEEP AWAY FROM OXIDIZING AGENTS. KEEP AWAY FROM INCOMPATIBLE SUBSTANCES.,CHEMICAL RESISTANT CLOTHING AS NECESSARY TO PREVENT SKIN CONTACT. AN EMERGENCY EYEWASH AND SHOWER SHOULD BE AVAILABLE.,IMPERVIOUS,NONE SHOULD BE NEEDED.,"GOOD GENERAL VENTILATION, TYPICALLY 10 AIR CHANGES PER HOUR, SHOULD BE USED. RATES SHOULD MATCH CONDITIONS.","DISCHARGE, TREATMENT OR DISPOSAL MAY BE SUBJECT TO NATIONAL, STATE OR LOCAL LAWS. FLUSH TO SEWER WITH LARGE AMOUNTS OF WATER IF ALLOWABLE.",NONFLAMMABLE. USE EXTINGUISHING MEDIA SUITABLE FOR SURROUNDING FIRE.,WEAR SELF-CONTAINED BREATHING APPARATUS AND PROTECTIVE CLOTHING. FIRE OR EXCESSIVE HEAT MAY PRODUCE HAZARDOUS DECOMPOSITION PRODUCTS.,AVOID BREATHING MIST. AVOID CONTACT WITH EYES & PROLONGED OR REPEATED CONTACT WITH SKIN. USE WITH ADEQUATE VENTILATION. KEEP CONTAINER TIGHTLY CLOSED.,"FLUSH TO SEWER IF ALLOWABLE WITH LARGE AMOUNTS OF WATER. OTHERWISE, ABSORB SPILL WITH VERMICULITE OR OTHER INERT MATERIAL, THEN PLACE IN A CONTAINER FOR CHEMICAL WASTE. CLEAN SURFACE TO REMOVE RESIDUA L CONTAMINATION."
bwrls,,,,,,,,,,,,"eye, skin, cns, lung, liver, kidney.",,,"skin, cns, lung, liver, kidney.","LIGHT AMBER LIQUID - MILD, CHARACTERISTIC ODOR","TEMPERATURES ABOVE 160C/320F, ALKALINE CONDITIONS","CARBON MONOXIDE, CARBON DIOXIDE, HYDROGEN CHLORIDE AND ORGANIC SULFIDES MAY BE FORMED.",CHEMICAL GOGGLES/FULL-FACE RESPIRATOR,"SEE LABEL. AVOID BREATHING VAPORS OR MISTS. DO NOT GET IN EYES, ON SKIN OR ON CLOTHING. WASH THOROUGHLY AFTER HANDLING AND BEFORE EATING OR DRINKING. REMOVE CONTAMINATED CLOTHING PROMPTLY. KEEP OUT OF REACH OF CHILDREN. DO NOT SWALLOW.","WEAR IMPERVIOUS CLOTHING, BOOTS, APRON OR FULL-BODY SUIT. PROVIDE SAFETY SHOWER AND EYE WASH FOUNTAIN.","NITRILE, VITON",WHEN RESPIRATORY PROTECTION IS REQUIRED USE A NIOSH-APPROVED AIR-PURIFYING RESPIRATOR. FOR EMERGENCIES USE APPROVED POSITIVE PRESSURE SELF CONTAINED BREATHING APPARATUS.,"MECHANICAL (GENERAL AND/OR LOCAL EXHAUST, EXPLOSION-PROOF) VENTILATION TO MAINTAIN EXPOSURE BELOW TLV(S).","PESTICIDE WASTES ARE TOXIC. DISPOSE OF IN ACCORDANCE WITH ALL LOCAL, STATE AND FEDERAL REGULATIONS. REPORTABLE QUANTITY FOR CHLORPYRIFOS IS 1 POUND. IMPROPER DISPOSAL OF EXCESS PESTICIDE, SPRAY MIXTUR E, OR RINSATE IS A VIOLATION OF FEDERALLAW.","USE CARBON DIOXIDE, FOAM/DRY CHEMICAL. WATER SPRAY MAY BE USED TO KEEP FIRE EXPOSED CONTAINERS COOL.",WEAR FULL PROTECTIVE CLOTHING AND NIOSH-APPROVED SELF-CONTAINED BREATHING APPARATUS WITH FULL FACEPIECE OPERATED IN THE POSITIVE PRESSURE MODE.,"STORE IN COOL, VENTILATED AREA, IN TIGHTLY CLOSED CONTAINERS, AWAY FROM FLAMES & INCOMPATIBLES. KEEP AWAY FROM FOOD, FEEDSTUFFS AND WATER SUPPLIES.",WEAR PROTECTIVE EQUIPMENT. ELIMINATE SOURCES OF IGNITION. VENTILATE AREA. ABSORB SPILLS WITH ABSORBENT MATERIAL SUCH AS DRY SAND OR DIRT. KEEP OUT OF WATERWAYS AND SEWERS. WASH SPILL AREA THOROUGHLY A FTER PICKUP IS COMPLETE.
bwrbx,,eyes/inhal:irritation.,,,,,"eyes:flush with water for 15 minutes.inhal:remove to fresh air.give oxygen or artificial respiration if need ed.ingest:get prompt qualified medical attention.if conscious,give milk or egg white,beaten with milk,induce vomiting by sticking finger down throat.continue until vomitus is clear.",,,"remove contaminated clothing;wash with soap and water or with a waterless hand cleaner.eyes:flush with water for 15 minutes.inhal:remove to fresh air.give oxygen or artificial respiration if need ed.ingest:get prompt qualified medical attention.if conscious,give milk or egg white,beaten with milk,induce vomiting by sticking finger down throat.continue until vomitus is clear.",,may cause irritation.skin:may cause irritation.ingest:may cause gi tract irritation.inhal:may cause respiratory irritation.,,,skin:may cause irritation.ingest:may cause gi tract irritation.inhal:may cause respiratory irritation.,LIQUID;BUFF COLOR;SLIGHTLY FATTY ACID ODOR,"HIGH HEAT,SOURCES OF IGNITION.","CARBON DIOXIDE,CARBON MONOXIDE,TOXIC MONOMER FUMES AND/OR SHORT CHAIN HYDROCARBONS,METALLIC FUMES.",CHEMICAL SPLASH GOGGLES,PROTECT FROM FREEZING.KEEP AWAY FROM FOOD.PERIODICALLY CHECK CONTAINERS FOR LEAKS.,"PROTECTIVE CLOTHING AND BARRIER CREAMS,AS NEEDED.PROVIDE A LOCAL EYE WASH STATION AND SAFETY SHOWER.",RUBBER OR NEOPRENE,WHERE ENVIRONMENTAL CONTROLS ARE LACKING OR IN ENCLOSED SPACES USE A NIOSH/MSHA APPROVED RESPIRATOR FOR ORGANIC VAPORS.,LOCAL VENTILATION AT THE WORKSITE;MECHANICAL(GENERAL) VENTILATION TO MAINTAIN TLV/PEL.,"INCINERATE OR DISPOSE OF IN ACCORDANCE WITH FEDERAL,STATE AND LOCAL REGULATIONS.","WATER FOG,DRY CHEMICAL,CARBON DIOXIDE,FOAM.",USE A SELF-CONTAINED BREATHING APPARATUS AND FULL PROTECTIVE EQUIPMENT.COOL FIRE EXPOSED CONTAINERS WITH WATER FOG.,"STORE IN A COOL,DRY,WELL-VENTILATED PLACE.KEEP CONTAINER CLOSED WHEN NOT IN USE.KEEP AWAY FROM HEAT,SPARKS,FLAMES AND INCOMPATIBLE MATERIALS.","ELIMINATE SOURCES OF IGNITION.USE PROPER RESPIRATORY AND PROTECTIVE EQUIPMENT.VENTILATE AREA.SOAK UP WITH A NON-COMBUSTIBLE INERT ABSORBANT(CLAY,SAND);PLACE IN PROPER CONTAINER FOR DISPOSAL.DO NOT CON TAMINATE WATERWAYS."
bwrck,,,,,,, flush with running water for 15 minutes while lifting eyelids.,,,,,"eyes- severe burns, cornea damage and blindness.",,,,"SHARP, PENETRATING PUNGENT ODOR. LIQUID.","OVERCHARGING AND SMOKING, OR SPARKS NEAR BATTERY SURFACE.",NONE SPECIFIED BY MANUFACTURER.,GOGGLES OR FACE SHIELD.,AVOID PROLONGED OVERCHARGING.,RUBBER OR PLASTIC APRON.,RUBBER GLOVES.,SULFURIC ACID MIST-HALF MASK WITH DUST AND ACID MIST FILTER.,GENERAL MECHANICAL: ACCEPTABLE AT 1 TO 4 CHARGES/HR.,NEUTRALIZE WITH SODIUM CARBONATE OR BICARBONATE.,HALON OR DRY CHEMICAL.,NONE SPECIFIED BY MANUFACTURER.,KEEP AWAY FROM FLAMES DURING AND IMMEDIATELY AFTER CHARGING.,WASH WITH WATER OR NEUTRALIZE WITH SODIUM CARBONATE OR BICARBONATE.
bwrwy,,,,,,, immed & continuous irrigation w/flowing water at least 30 mins.,,,,,,,,,"TAN, HIGH VISCOSITY LIQUID WITH STRONG AMMONIA LIKE ODOR",,"THERMAL DECOMPOSITION MAY PRODUCE HYDROGEN CYANIDE, NITROGEN OXIDES, CARBON MONOXIDE AND CARBON DIOXIDE.",GOGGLES WHERE THERE IS DANGER OF SPLASH,STRONG SKIN SENSITIZER. AVOID SKIN CONTACT.,USE OF PROTECTIVE SKIN CREAM IS RECOMMENDED.,RUBBER OR PLASTIC,"WHERE COMPARITIVELY SMALL AMOUNTS ARE BEING USED, VENTILATION SHOULD MOVE AIR OVER THE WORK AND AWAY FORM THE WORKER. DO NOT RECIRCULATE UNLESS SCRUBBED WITH ACID.",VENTILATION SHOULD MOVE AIR OVER THE WORK AND AWAY FROM THE WORKER.,,"USE WATER SPRAY, DRY CHEMICAL, ""ALCOHOL"" FOAM, OR CARBON DIOXIDE",USE WATER TO KEEP FIRE-EXPOSED CONTAINERS COOL. WATER SPRAY MAY BE USED TO FLUSH SPILLS AWAY FROM EXPOSURE & TO DILUTE SPILLS TO NONFLAMMABLE MIXTURES.,"PROTECT FROM PHYSICAL DAMAGE. STORE IN A COOL, DRY AREA, WELL VENTILATED AWAY FROM ANY AREA WHERE FIRE HAZARD MAY BE ACUTE.","CLEANUP AND DISPOSAL SHOULD BE IN ACCORDANCE WITH FEDERAL, STATE, AND LOCAL ENVIRONMENTAL CONTROL REGULATIONS."
bwrvj,,,,,skin & mucous membranes.,,,,,wipe off & wash w/soap & water.,,,,,skin contact tends to remove skin oils & may cause skin irritation.,BLACK LUBRIATING GREASE; SLIGHT PETROLEUM ODOR.,EXCESSIVE HEAT & OPEN FLAMES.,OXIDES OF CARBON MAY FORM ON INCOMPLETE COMBUSTION.,ANSI APPROVED CHEM WORKERS GOGGS .,"AVOID EXCESSIVE HEAT OR FLAMES. AVOID REPEATED CONTACT W/SKIN. AVOID CONTACT W/EYES & INHALATION OF FUMES, VAPORS OR MISTS. DO NOT INGEST.",EYE WASH FOUNTAIN & DELUGE SHOWER WHICH MEET ANSI DESIGN CRITERIA . OTHER PROT CLTHG/EQUIP NORMALLY NOT REQD.,IMPERVIOUS GLOVES .,NOT NORMALLY REQUIRED. NIOSH/MSHA APPROVED RESPIRATOR RECOMMENDED IF FUMING OR MISTING.,LOCAL EXHAUST:RECOMMENDED TO CAPTURE HOT FUMES. MECHANICAL (GENERAL): RECOMMENDED IF FUMING OR MISTING.,"DISPOSE OF AS LOCAL, STATE & FEDERAL LAWS PERMIT FOR PETROLEUM HYDROCARBONS.","CO*2, DRY CHEMICAL, FOAM & WATER FOG (CAREFULLY TO PREVENT FROTHING).",USE NIOSH/MSHA APPROVED SCBA & FULL PROTECTIVE EQUIPMENT .,KEEP CONTAINERS CLOSED. HANDLE & STORE USING METHODS GENERALLY ADVOCATED FOR PETROLEUM PRODUCTS. DO NOT STORE OR MIX W/OXIDIZING MATERIALS.,STOP FLOW. ELIMINATE IGNITION SOURCE. RECOVER FREE PRODUCT. ADD ABSORBENT MATERIAL SUCH AS CLAY TO SPILL AREA. SWEEP OR SCRAPE UP.
bwrwn,,mild transient irritation.,,,,,,,,,,,,,,"YELLOW LIQUID, UNPLEASANT PUNGENT ODOR.",EXPOSURE TO HEAT OR CONTAMINATION.,DECOMPOSITION PRODUCTS ARE FLAMMABLE.,SAFETY GLASSES OR FACE SHIELD,,USE ONLY NIOSH/MESA APPROVED EQUIPMENT. EYEWASH STATION.,PVC OR NEOPRENE,USE ADEQUATE VENTILATION.,LOCAL EXHAUST & MECHANICAL (GENERAL): YES.,"SEE ABOVE INFORMATION .DO NOT DISCARD WITH WASTE PAPER. HMIS: DISPOSE I/A/W FEDERAL, STATE & LOCAL REGULATIONS.","USE WATER FOG,DRY CHEMICAL,OR FOAM.","IF LARGE AMOUNT INVOLVED, EVACUATE AREA & FIGHT FIRE FROM SAFE DISTANCE. COOL SURROUNDING MATERIAL W/WATER.",STORE AWAY FROM COMBUSTIBLES. KEEP CONTAINER CLOSED. STORE IN A WELL VENTILATED AREA.,ABSORB W/VERMICULITE/PERLITE. SWEEP OR SCOOP UP USING NON-SPARKING TOOLS. CONSULT ATOCHEM REP. AT 1-716-877-1740 FOR STATE HAZARDOUS WASTE AGENCY.
bwryr," liver, kidney, ns.",,,,,,,,,,,"severe irritation.tearing,redness,blurred vision.",,,,"LIQUID, ODOR OF SOLVENTS",HIGH TEMPERATURES,CAN PRODUCE CARBON MONOXIDE AND/OR CARBON DIOXIDE.,"CHEM GOGGLES,SAFETY GLASSES,FACE SHIELDS",CONTAINERS OF THIS MATERIAL MAY BE HAZARDOUS WHEN EMPTY. DO NOT WELD OR FLAME CUT ON EMPTY DRUMS. SHOCK FROM DROPPING MAY SPLIT CONTAINER. CONTACT LENSES SHOULD NOT BE WORN WHEN WORKING WITH THIS MATE RIAL.,EMPLOYEES SHOULD WASH PROMPTLY WHEN SKIN BECOMES CONTAMINATED. REMOVE CLOTHING THAT BECOMES WET (TO AVOID FLAMMABILITY).,CHEM RESISTANT (NITRILE/VITON) GLOVES,WEAR APPROPRIATE (TYPE TC-23C-75) PROPERLY FITTED HALF-MASK OR FULL FACEPIECE RESPIRATOR (NIOSH/MSHA) DURING & AFTER APPLICATION UNLESS AIR MONITORING DEMONSTRATES VAPOR/MIST LEVELS BELOW APPLICABLE L IMITS. FOLLOW RESPRTR MFR USE DIRECTIONS,KEEP AIR CONCEN BELOW PEL/TLV.REMOVE DECOMP FORMED DURING WELD/FLAME CUT COATED SURFACES.VENT VAPOR FROM BAKING FINISHES,"DISPOSE OF IN ACCORDANCE WITH APPLICABLE LOCAL, STATE, & FEDERAL REGULATIONS. EPA HAZARDOUS WASTE CODE: D001 (IGNITABLE).","DRY CHEMICAL, FOAM, CO2",WEAR SCBA W/FULL FACPIECE (POSITIVE PRESSURE MODE) & FULL PROTECT CLOTH. USE WATER TO COOL CLOSED CNTNR TO PREVENT PRESSURE BLDUP/AUTO IGNIT/EXPLOSION W/HEAT.,AVOID STORAGE IN HIGH TEMPERATURE AREAS OR NEAR FIRE OR OPEN FLAME. KEEP CONTAINER CLOSED WHEN NOT IN USE. AVOID ROUGH HANDLING,"ELIMINATE IGNITION SOURCES. MINIMIZE BREATHING VAPORS. AVOID SKIN CONTACT. SMALL: ABSORB W/INERT MAT'L (CLAY,SOIL,COMMERCL ABSORBNT) SHOVEL RECLAIMED LIQ & ABSORBENT INTO RECOVERY DRUMS. LRG: DIKE. RE CLAIM INTO RECOVERY/SALVAGE DRUMS OR TANK TRUCK."
bwrxv,,,,,"skin rash, irritation",, flush with water for 15 minutes.,,,,,,,,skin or cause a rash.,PEARLESCENT PASTE WITH PUNGENT ODOR,AVOID MIX RESIN(PRT A)&CURING AGENT(PRT B)IN BATCHES>1LB UNLESS USED IMMED.DON'T HEAT MIXED ADHESIVE>75F UNLESS CURING *,"CO, NOX, ALDEHYDES, ACIDS AND UNDETERMINED ORGANICS.",SAFTY GLASSES W/SIDE SHIELD/CHEM GOGGLES,"FOLLOW CURING SCHEDULE AS RECOMMENDED IN PRODUCT LITERATURE. SEE ALSO REACTIVITY DATA. DO NOT CUT, GRIND, WELD, OR DRILL ON OR NEAR THIS CONTAINER.",AN EYEWASH AND SAFETY SHOWER SHOULD BE NEARBY AND READY FOR USE.,"WEAR BUTYL RUBBER, PVC, NITRILE RUBBER",UNNECESSARY WITH ADEQUATE EXHAUST VENTILATION.,LOCAL EXHAUST VENTILATION AT THE POINT OF USE.,"NOT CONSIDERED RCRA HAZARDOUS WASTE. INCINERATION IN EPA APPROVED WASTE INCINERATED PREFERRED DISPOSAL PRACTICES. CHEM ADDITIONS, PROCESSING, ALTERING, MAY CHANGE DISPOSAL PROCEDURES. STATE, LOCAL REQ UIREMENTS FOR DISPOSAL MAY DIFFER FROM FED REGS.","DRY CHEMICAL, HALON FIRE EXTINGUISHER, WATER SPRAY, FOAM OR FOG.","WEAR SCBA & FULL PROTECTIVE CLOTHING, SUCH AS TURN-OUT GEAR. CARTRIDGE RESPIRATORS DON'T PROVIDE ADEQUATE PROTECTION FOR FIRE FIGHTERS OR EXOTHERM MITIGATION.",REFRIGERATED STORAGE IS RECOMMENDED TO MAINTAIN PRODUCT QUALITY. THIS PRODUCT MAY BE STORE AT ROOM TEMPERATURE (77F) FOR UP TO 12 MONTHS),"WEAR PROTECTIVE CLOTHING, GLOVES AND SAFETY GLASSES. SCRAPE UP OR SHOVEL INTO DOT APPROVED WASTE CONTAINERS."
bwrxw,,"eye irritation, chest discomfort",,,"skin or eye irritation, chest discomfort",, flush with lots of running water for 15 minutes.,,,,,eyes and skin.,,,skin.,REDDISH-ORANGE LIQUID WITH AMMONIACAL ODOR,AVOID MIX RESIN (PRT A)& CURING AGENT (PRT B) IN BATCHES>1LB UNLESS USE IMMED. DON'T HEAT MIXED ADHESIVE >125F UNLESS **,"CO, NOX, ALDEHYDES, ACIDS AND UNDETERMINED ORGANICS.",SAFETY GLASSES W/SIDESHLD / CHEM GOGGLES,"FOLLOW CURING SCHEDULE & MIXING RATIOS AS RECOMMENDED IN PRODUCT LITERATURE. EMPTY CONTAINERS RETAIN PRODUCT RESIDUE SO OBEY HAZARD WARNINGS & HANDLE EMPTY CONTAINERS AS IF THEY WERE FULL. DO NOT CUT, GRIND, WELD, OR DRILL ON OR NEAR CNTNR.","LONG-SLEEVED SHIRT AND TROUSERS, AN EYEWASH AND SAFETY SHOWER SHOULD BE NEARBY AND READY FOR USE.","BUTYL RUBBER, PVC, NITRILE RUBBER GLOVES","IF LOCAL EXHAUST VENTILATION IS INADEQUATE, A RESPIRATOR EQUIPPED WITH ORGANIC VAPOR CARTRIDGES MAY BE APPROPRIATE.",LOCAL EXHAUST VENTILATION AT THE POINT OF USE.,"NOT CONSIDERED RCRA HAZARDOUS WASTE. INCINERATION IN EPA APPROVED WASTE INCINERATOR IS PREFERRED DISPOSAL. ADDITIONS, PROCESSING, ALTERING MAY CHANGE REQUIREMENTS OF DISPOSAL. STATE & LOCAL REQUIREMEN TS FOR WASTE DISPOSAL MAY DIFFER FROM FED REGS.","DRY CHEMICAL, HALON FIRE EXTINGUISHER, WATER SPRAY, FOAM, OR FOG","WEAR SCBA & FULL PROTECTIVE CLOTHING, SUCH AS TURN OUT GEAR. CARTRIDGE RESPIRATORS DO NOT PROVIDE ADEQUATE PROTECTION FOR FIRE FIGHTERS OR EXOTHERM MITIGATION.",THIS PRODUCT MAY BE STORED AT ROOM TEMPERATURES FOR UP TO 12 MONTHS. KEEP CONTAINER TIGHLY CLOSED WHEN NOT IN USE.,"WEAR PROTECTIVE CLOTHING, GLOVES, AND SAFETY GLASSES. ABSORB SPILL WITH SORBENT MATERIAL SUCH AS VERMICULITE OR SAND. SCRAPE UP OR SHOVEL INTO DOT APPROVED WASTE CONTAINERS."
bwrys," liver, kidney, ns.",,,,,,,,,,,"severe irritation.tearing,redness,blurred vision.",,,,"LIQUID, ODOR OF SOLVENTS",HIGH TEMPERATURES,CAN PRODUCE CARBON MONOXIDE AND/OR CARBON DIOXIDE.,"CHEM GOGGLES,SAFETY GLASSES,FACE SHIELDS",CONTAINERS OF THIS MATERIAL MAY BE HAZARDOUS WHEN EMPTY. DO NOT WELD OR FLAME CUT ON EMPTY DRUMS. SHOCK FROM DROPPING MAY SPLIT CONTAINER. CONTACT LENSES SHOULD NOT BE WORN WHEN WORKING WITH THIS MATE RIAL.,EMPLOYEES SHOULD WASH PROMPTLY WHEN SKIN BECOMES CONTAMINATED. REMOVE CLOTHING THAT BECOMES WET (TO AVOID FLAMMABILITY).,CHEM RESISTANT (NITRILE/VITON) GLOVES,WEAR APPROPRIATE (TYPE TC-23C-75) PROPERLY FITTED HALF-MASK OR FULL FACEPIECE RESPIRATOR (NIOSH/MSHA) DURING & AFTER APPLICATION UNLESS AIR MONITORING DEMONSTRATES VAPOR/MIST LEVELS BELOW APPLICABLE L IMITS. FOLLOW RESPRTR MFR USE DIRECTIONS,KEEP AIR CONCEN BELOW PEL/TLV.REMOVE DECOMP FORMED DURING WELD/FLAME CUT COATED SURFACES.VENT VAPOR FROM BAKING FINISHES,"DISPOSE OF IN ACCORDANCE WITH APPLICABLE LOCAL, STATE, & FEDERAL REGULATIONS. EPA HAZARDOUS WASTE CODE: D001 (IGNITABLE).","DRY CHEMICAL, FOAM, CO2",WEAR SCBA W/FULL FACPIECE (POSITIVE PRESSURE MODE) & FULL PROTECT CLOTH. USE WATER TO COOL CLOSED CNTNR TO PREVENT PRESSURE BLDUP/AUTO IGNIT/EXPLOSION W/HEAT.,AVOID STORAGE IN HIGH TEMPERATURE AREAS OR NEAR FIRE OR OPEN FLAME. KEEP CONTAINER CLOSED WHEN NOT IN USE. AVOID ROUGH HANDLING,"ELIMINATE IGNITION SOURCES. MINIMIZE BREATHING VAPORS. AVOID SKIN CONTACT. SMALL: ABSORB W/INERT MAT'L (CLAY,SOIL,COMMERCL ABSORBNT) SHOVEL RECLAIMED LIQ & ABSORBENT INTO RECOVERY DRUMS. LRG: DIKE. RE CLAIM INTO RECOVERY/SALVAGE DRUMS OR TANK TRUCK."
